Unnamed: 0,Sentiment,EMA,SMA,Index_EMA,Index_SMA,percent_difference
2016-10-11,0.13249534632034635,817.3966,812.2045,216.8272,216.63299999999998,0.24606085149851525
2016-10-12,0.0989512987012987,818.9864,815.8545,216.6465,216.662,-0.2695996551950345
2016-10-13,0.13865782828282827,819.9668,818.834,216.4201,216.5495,-0.771440905730717
2016-10-14,0.2168231240981241,820.2518,821.056,216.2173,216.483,-0.8850143061297504
2016-10-17,0.13950113636363637,819.5564,822.9485,215.9661,216.3755,-0.039894059467114884
2016-10-18,0.17776848484848481,819.3748,824.82,215.8646,216.333,-0.2417342690979749
2016-10-19,0.1735790154290154,819.2144,826.2175,215.8232,216.1965,-0.729570046779159
2016-10-20,0.10448618025493026,818.3673,826.4985,215.7505,215.9745,1.0234490234534876
2016-10-21,0.14266742424242426,818.4266,827.1605,215.6943,215.815,1.8906089243303883
2016-10-24,0.15728733766233768,820.2993,829.107,215.7339,215.84799999999998,-0.02793623199646117
2016-10-25,0.1753604797979798,821.7165,830.0605,215.704,215.78099999999998,-1.2985652167278932
2016-10-26,0.16983863636363636,821.7997,829.7539999999999,215.6341,215.6345,-0.2397725450551404
2016-10-27,0.17003910533910535,821.4721,829.2195,215.5146,215.5565,-4.843232778349799
2016-10-28,0.11092857142857142,817.1719,826.17,215.3466,215.36599999999999,1.7670437945647308
2016-10-31,0.1993160894660895,814.567,823.824,215.1888,215.206,0.12487765205235155
2016-11-01,0.11905705266955267,811.7901,821.393,214.907,215.0205,-1.9006638037484465
2016-11-02,0.1099943181818182,807.3872,817.453,214.5254,214.72099999999998,0.6092756664199392
2016-11-03,0.17286093073593073,803.5437,813.7215,214.0963,214.36700000000002,-1.3952177106327055
2016-11-04,0.14396262626262626,798.9253,809.5025,213.6748,214.03799999999998,1.7395830349695052
2016-11-07,0.16415164141414146,797.5924,806.6635,213.7362,213.887,-0.10265838642482422
2016-11-08,0.05997340367965369,796.655,804.5010000000001,213.8861,213.9195,-3.119981476377464
2016-11-09,0.10510722610722611,794.2955,801.3905,214.2484,214.0575,-4.019366187044938
2016-11-10,0.11780357142857144,789.3511,797.0455,214.6171,214.25,-0.2751447586011625
2016-11-11,0.17263501082251081,784.5568,792.8480000000001,214.9136,214.422,-2.7257614205652523
2016-11-14,0.13619954004329007,778.3199,788.154,215.1875,214.6325,2.566942931046495
2016-11-15,0.1507074855699856,774.9789999999999,784.4335,215.6001,214.8635,0.5648256557883908
2016-11-16,0.533625,772.2657,780.8735,215.9468,215.054,0.875986315463764
2016-11-17,0.13384632034632035,770.7547,778.1775,216.3547,215.3125,0.6968826134439063
2016-11-18,0.14720965608465608,769.7457,775.2360000000001,216.6819,215.544,1.8820092415380325
2016-11-21,0.21864417388167393,770.7223,772.3315,217.1303,215.808,0.516207446888601
2016-11-22,0.0987140873015873,772.1135,769.8389999999999,217.5712,216.125,-0.7716404877471014
2016-11-23,0.14165674603174602,772.8760000000001,767.7155,217.993,216.4765,-0.3328185130215597
2016-11-25,0.19758277278277284,773.5897,765.816,218.4518,216.898,-1.3029264161895358
2016-11-28,0.05472077922077922,772.9402,765.3385,218.7735,217.30200000000002,-0.7165595552687066
2016-11-29,0.06778769841269842,771.9478,763.9735,219.0989,217.727,-1.2701289373577151
2016-11-30,0.16413365800865798,769.9119,762.2315,219.3304,218.192,-0.5608410684513528
2016-12-01,0.08186249167499167,767.4107,761.1360000000001,219.4637,218.6835,-0.5266494545161039
2016-12-02,0.0680780303030303,764.8326,759.8015,219.6014,219.22799999999998,1.989668393761585
2016-12-05,0.12631028138528141,764.3114,760.0169999999999,219.84799999999998,219.854,0.3458053566945429
2016-12-06,0.08471792929292929,764.3503,759.0065,220.1472,220.2875,-0.5461668824263499
2016-12-07,0.08525889249639249,764.9283,758.14,220.6922,220.8155,-0.6401555048730224
2016-12-08,0.1330757575757576,765.1571,757.9125,221.2368,221.2515,-0.4626860161069854
2016-12-09,0.12200992063492064,765.4907,759.2265,221.8666,221.738,-0.9881365152666728
2016-12-12,0.10891119991119991,764.9792,760.2819999999999,222.4098,222.23,1.2204079057961608
2016-12-13,0.15214078282828283,765.8707,763.0455,223.0422,222.793,0.04242845434074749
2016-12-14,0.16147741702741703,766.1516,764.3245,223.4496,223.183,-1.3514736137089614
2016-12-15,0.18105093795093796,765.6610000000001,765.05,223.8906,223.625,-0.2709865962147056
2016-12-16,0.12130541125541125,764.9094,765.1185,224.2563,224.0,0.9016525997011756
2016-12-19,0.24604985569985569,765.0133,765.4105,224.6271,224.418,0.2869848234379275
2016-12-20,0.08613888888888889,765.6044,764.9715,225.0483,224.801,0.7360235237613113
2016-12-21,0.17333376623376623,766.0802,764.235,225.2513,225.072,-0.40755672176172986
2016-12-22,0.14804840992340995,766.1049,763.546,225.4036,225.3145,-0.8164426901970984
2016-12-23,0.058756553631553625,765.5797,762.557,225.5556,225.524,1.1393267445461557
2016-12-27,0.10058885003885004,766.1339999999999,762.7885,225.7541,225.8145,0.9161056349998212
2016-12-28,0.15849936095650383,766.7051,763.2689999999999,225.7557,225.9935,-0.8951342780608786
2016-12-29,0.1603660533910534,766.557,763.998,225.7551,226.2045,-1.6603384609840257
2016-12-30,0.10892875180375182,764.9677,764.309,225.6822,226.4175,-0.19994357135598206
2017-01-03,0.18621266233766234,763.8918,764.9755,225.7677,226.701,-0.13892188016030665
2017-01-04,0.16120553613053612,763.2525,764.8665,225.9756,226.989,3.165370929541089
2017-01-05,0.17652218614718618,764.8904,765.653,226.1436,227.2265,1.5959714522502044
2017-01-06,0.11063535353535356,767.8523,766.9315,226.3814,227.365,0.4404885427674231
